Transaction ID,Transaction Date,Menu,Category,Menu ID,Qty,Price,Total Spent,Payment Method,Order Type
SUN-6434420,2023-10-01,Grill Chicken Caesar Salad,Food,FOD-04,3,42000,126000,Unknown,Online Order
SUN-4127465,2023-01-23,Cafe Latte,Drinks,DRK-03,1,32000,32000,Digital Wallet,Take Away
SUN-9959752,2023-04-13,Nasi Goreng Kampung,Food,FOD-03,4,38000,152000,Cash,Unknown
SUN-5257512,2023-07-01,Cafe Latte,Drinks,DRK-03,1,32000,32000,Unknown,Online Order
SUN-1659564,2023-06-27,Caramel Machiato,Drinks,DRK-04,4,38000,152000,Debit Card,Unknown
SUN-8746790,2023-02-12,Choco Lava Cake,Dessert,DST-04,4,35000,140000,Cash,Dine In
SUN-7551943,2023-12-24,Cafe Latte,Drinks,DRK-03,1,32000,32000,Digital Wallet,Unknown
SUN-7998776,2023-10-01,New York Cheesecake,Dessert,DST-03,1,42000,42000,Cash,Unknown
SUN-9532935,2023-12-18,Caramel Machiato,Drinks,DRK-04,3,38000,114000,Debit Card,Online Order
SUN-8615982,2023-02-03,Grill Chicken Caesar Salad,Food,FOD-04,1,42000,42000,Debit Card,Online Order
SUN-2128658,2023-09-22,Grill Chicken Caesar Salad,Food,FOD-04,4,42000,168000,Cash,Dine In
SUN-2709499,2023-04-17,Beef Carbonara Pasta,Food,FOD-02,4,52000,208000,Digital Wallet,Dine In
SUN-1579713,2023-07-17,Creamy Maycha Latte,Drinks,DRK-05,1,35000,35000,Debit Card,Take Away
SUN-6424168,2023-12-04,Espreso Single,Drinks,DRK-01,3,22000,66000,Digital Wallet,Dine In
SUN-8316112,2023-04-12,Cafe Latte,Drinks,DRK-03,3,32000,96000,Debit Card,Dine In
SUN-2723542,2023-09-22,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Cash,Dine In
SUN-1146065,2023-02-28,Cafe Latte,Drinks,DRK-03,1,32000,32000,Digital Wallet,Online Order
SUN-1366043,2023-04-28,Buttermilk Fried Chicken,Food,FOD-01,1,48000,48000,Cash,Unknown
SUN-6726508,2023-12-21,Espreso Single,Drinks,DRK-01,1,22000,22000,Debit Card,Online Order
SUN-4885650,2023-06-03,Beef Carbonara Pasta,Food,FOD-02,1,52000,52000,Debit Card,Online Order
SUN-2774696,2023-07-08,Club Sandwich,Food,FOD-05,2,45000,90000,Cash,Dine In
SUN-2925668,2023-04-17,Beef Carbonara Pasta,Food,FOD-02,2,52000,104000,Digital Wallet,Unknown
SUN-3704015,2023-02-12,Fudgy Brownies,Dessert,DST-02,3,25000,75000,Cash,Dine In
SUN-4481094,2023-06-04,Beef Carbonara Pasta,Food,FOD-02,2,52000,104000,Digital Wallet,Dine In
SUN-9246459,2023-08-16,Club Sandwich,Food,FOD-05,3,45000,135000,Digital Wallet,Take Away
SUN-8741366,2023-06-16,Creamy Maycha Latte,Drinks,DRK-05,1,35000,35000,Debit Card,Online Order
SUN-6459066,2023-10-11,Classic Tirmaisu,Dessert,DST-01,3,38000,114000,Digital Wallet,Online Order
SUN-2332422,2023-05-13,Creamy Maycha Latte,Drinks,DRK-05,1,35000,35000,Digital Wallet,Online Order
SUN-9466267,2023-08-12,Buttermilk Fried Chicken,Food,FOD-01,4,48000,192000,Cash,Take Away
SUN-6731099,2023-10-10,Choco Lava Cake,Dessert,DST-04,3,35000,105000,Digital Wallet,Dine In
SUN-6096734,2023-12-01,Buttermilk Fried Chicken,Food,FOD-01,3,48000,144000,Digital Wallet,Unknown
SUN-5865247,2023-06-05,Choco Lava Cake,Dessert,DST-04,2,35000,70000,Debit Card,Take Away
SUN-4544157,2023-01-15,Creamy Maycha Latte,Drinks,DRK-05,3,35000,105000,Digital Wallet,Take Away
SUN-7247827,2023-09-20,Grill Chicken Caesar Salad,Food,FOD-04,3,42000,126000,Cash,Dine In
SUN-7947139,2023-07-12,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Digital Wallet,Online Order
SUN-6274006,2023-11-15,Iced Americano,Drinks,DRK-02,1,28000,28000,Unknown,Online Order
SUN-6748316,2023-06-17,Iced Americano,Drinks,DRK-02,3,28000,84000,Unknown,Online Order
SUN-6641456,2023-05-15,Buttermilk Fried Chicken,Food,FOD-01,2,48000,96000,Debit Card,Take Away
SUN-5987471,2023-01-23,Grill Chicken Caesar Salad,Food,FOD-04,3,42000,126000,Digital Wallet,Dine In
SUN-4720429,2023-06-16,Club Sandwich,Food,FOD-05,1,45000,45000,Debit Card,Take Away
SUN-8298101,2023-08-23,New York Cheesecake,Dessert,DST-03,3,42000,126000,Unknown,Online Order
SUN-9494169,2023-10-09,Buttermilk Fried Chicken,Food,FOD-01,2,48000,96000,Digital Wallet,Unknown
SUN-5663995,2023-11-08,Club Sandwich,Food,FOD-05,4,45000,180000,Debit Card,Unknown
SUN-4793340,2023-03-20,New York Cheesecake,Dessert,DST-03,2,42000,84000,Debit Card,Online Order
SUN-4685044,2023-08-05,Grill Chicken Caesar Salad,Food,FOD-04,3,42000,126000,Debit Card,Take Away
SUN-1140911,2023-10-21,Espreso Single,Drinks,DRK-01,4,22000,88000,Digital Wallet,Online Order
SUN-2624711,2023-04-05,Cinnamon Roll,Dessert,DST-05,4,28000,112000,Debit Card,Take Away
SUN-9903500,2023-05-06,Fudgy Brownies,Dessert,DST-02,3,25000,75000,Cash,Take Away
SUN-4728761,2023-11-03,Fudgy Brownies,Dessert,DST-02,4,25000,100000,Debit Card,Take Away
SUN-7619456,2023-08-01,Cinnamon Roll,Dessert,DST-05,3,28000,84000,Cash,Dine In
SUN-4458150,2023-07-05,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Debit Card,Take Away
SUN-6861326,2023-09-03,Espreso Single,Drinks,DRK-01,3,22000,66000,Debit Card,Take Away
SUN-5710075,2023-07-06,Grill Chicken Caesar Salad,Food,FOD-04,2,42000,84000,Debit Card,Online Order
SUN-8696965,2023-12-25,Iced Americano,Drinks,DRK-02,1,28000,28000,Cash,Take Away
SUN-3209298,2023-10-02,Grill Chicken Caesar Salad,Food,FOD-04,1,42000,42000,Unknown,Online Order
SUN-6335997,2023-01-20,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Debit Card,Online Order
SUN-8701876,2023-02-23,Caramel Machiato,Drinks,DRK-04,4,38000,152000,Unknown,Dine In
SUN-9369959,2023-07-18,Cafe Latte,Drinks,DRK-03,2,32000,64000,Digital Wallet,Take Away
SUN-9007520,2023-10-27,Creamy Maycha Latte,Drinks,DRK-05,2,35000,70000,Digital Wallet,Dine In
SUN-6965170,2023-01-26,Buttermilk Fried Chicken,Food,FOD-01,4,48000,192000,Digital Wallet,Unknown
SUN-2176637,2023-09-07,New York Cheesecake,Dessert,DST-03,1,42000,42000,Debit Card,Dine In
SUN-7190228,2023-10-05,Iced Americano,Drinks,DRK-02,4,28000,112000,Debit Card,Online Order
SUN-9112378,2023-10-15,Caramel Machiato,Drinks,DRK-04,4,38000,152000,Digital Wallet,Online Order
SUN-1884453,2023-11-15,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Digital Wallet,Online Order
SUN-6599234,2023-03-11,Club Sandwich,Food,FOD-05,1,45000,45000,Digital Wallet,Online Order
SUN-2044559,2023-07-22,Iced Americano,Drinks,DRK-02,1,28000,28000,Debit Card,Online Order
SUN-6571331,2023-10-20,Cinnamon Roll,Dessert,DST-05,1,28000,28000,Debit Card,Online Order
SUN-2121958,2023-05-11,Fudgy Brownies,Dessert,DST-02,4,25000,100000,Cash,Take Away
SUN-3448229,2023-03-11,Choco Lava Cake,Dessert,DST-04,3,35000,105000,Digital Wallet,Take Away
SUN-9080212,2023-06-25,Nasi Goreng Kampung,Food,FOD-03,1,38000,38000,Debit Card,Dine In
SUN-1397780,2023-01-30,Choco Lava Cake,Dessert,DST-04,3,35000,105000,Unknown,Take Away
SUN-3627858,2023-03-22,New York Cheesecake,Dessert,DST-03,1,42000,42000,Digital Wallet,Dine In
SUN-2692139,2023-11-09,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Cash,Take Away
SUN-2440799,2023-09-01,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Unknown,Unknown
SUN-8218015,2023-11-11,Grill Chicken Caesar Salad,Food,FOD-04,3,42000,126000,Debit Card,Take Away
SUN-5637471,2023-11-03,Creamy Maycha Latte,Drinks,DRK-05,3,35000,105000,Cash,Unknown
SUN-6718347,2023-11-16,Club Sandwich,Food,FOD-05,1,45000,45000,Debit Card,Unknown
SUN-8029297,2023-04-24,Cafe Latte,Drinks,DRK-03,3,32000,96000,Cash,Take Away
SUN-6442569,2023-06-22,Espreso Single,Drinks,DRK-01,2,22000,44000,Unknown,Take Away
SUN-3449758,2023-08-14,Grill Chicken Caesar Salad,Food,FOD-04,3,42000,126000,Debit Card,Unknown
SUN-9376620,2023-04-11,New York Cheesecake,Dessert,DST-03,3,42000,126000,Digital Wallet,Dine In
SUN-6870859,2023-12-02,New York Cheesecake,Dessert,DST-03,2,42000,84000,Unknown,Online Order
SUN-3389280,2023-01-03,Beef Carbonara Pasta,Food,FOD-02,4,52000,208000,Digital Wallet,Take Away
SUN-2168768,2023-11-02,Choco Lava Cake,Dessert,DST-04,4,35000,140000,Debit Card,Online Order
SUN-4370626,2023-08-24,Classic Tirmaisu,Dessert,DST-01,3,38000,114000,Digital Wallet,Dine In
SUN-7072237,2023-04-03,Cinnamon Roll,Dessert,DST-05,4,28000,112000,Cash,Dine In
SUN-7240072,2023-09-20,Caramel Machiato,Drinks,DRK-04,3,38000,114000,Debit Card,Online Order
SUN-6852486,2023-05-31,New York Cheesecake,Dessert,DST-03,2,42000,84000,Digital Wallet,Unknown
SUN-3821196,2023-11-01,Fudgy Brownies,Dessert,DST-02,3,25000,75000,Digital Wallet,Dine In
SUN-6602783,2023-12-31,Classic Tirmaisu,Dessert,DST-01,2,38000,76000,Debit Card,Take Away
SUN-8317716,2023-04-13,Creamy Maycha Latte,Drinks,DRK-05,2,35000,70000,Digital Wallet,Online Order
SUN-2998632,2023-06-21,Cafe Latte,Drinks,DRK-03,3,32000,96000,Cash,Take Away
SUN-4646385,2023-03-20,Cinnamon Roll,Dessert,DST-05,4,28000,112000,Digital Wallet,Take Away
SUN-6848832,2023-09-10,Caramel Machiato,Drinks,DRK-04,2,38000,76000,Debit Card,Unknown
SUN-3881732,2023-08-22,Fudgy Brownies,Dessert,DST-02,3,25000,75000,Debit Card,Online Order
SUN-4437995,2023-11-05,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Cash,Dine In
SUN-4064754,2023-10-21,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Debit Card,Unknown
SUN-7246577,2023-12-23,Espreso Single,Drinks,DRK-01,2,22000,44000,Debit Card,Dine In
SUN-4378964,2023-12-18,Espreso Single,Drinks,DRK-01,1,22000,22000,Debit Card,Online Order
SUN-5252162,2023-11-23,New York Cheesecake,Dessert,DST-03,4,42000,168000,Debit Card,Dine In
SUN-7914926,2023-02-24,Creamy Maycha Latte,Drinks,DRK-05,1,35000,35000,Debit Card,Unknown
SUN-4545296,2023-01-16,Cinnamon Roll,Dessert,DST-05,1,28000,28000,Unknown,Online Order
SUN-1133441,2023-06-26,Iced Americano,Drinks,DRK-02,1,28000,28000,Digital Wallet,Online Order
SUN-1807755,2023-05-06,Choco Lava Cake,Dessert,DST-04,3,35000,105000,Unknown,Take Away
SUN-5441274,2023-11-23,Classic Tirmaisu,Dessert,DST-01,3,38000,114000,Debit Card,Take Away
SUN-7021722,2023-10-18,Creamy Maycha Latte,Drinks,DRK-05,2,35000,70000,Unknown,Online Order
SUN-2768078,2023-06-04,Espreso Single,Drinks,DRK-01,4,22000,88000,Debit Card,Online Order
SUN-8541636,2023-07-30,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Unknown,Take Away
SUN-2164854,2023-08-04,Buttermilk Fried Chicken,Food,FOD-01,4,48000,192000,Digital Wallet,Online Order
SUN-5063759,2023-11-22,Cafe Latte,Drinks,DRK-03,2,32000,64000,Cash,Unknown
SUN-2020546,2023-01-09,Buttermilk Fried Chicken,Food,FOD-01,3,48000,144000,Cash,Dine In
SUN-2859577,2023-06-28,New York Cheesecake,Dessert,DST-03,4,42000,168000,Debit Card,Online Order
SUN-3668874,2023-09-03,Choco Lava Cake,Dessert,DST-04,2,35000,70000,Debit Card,Unknown
SUN-3776525,2023-06-15,Caramel Machiato,Drinks,DRK-04,2,38000,76000,Unknown,Unknown
SUN-2797868,2023-12-02,Creamy Maycha Latte,Drinks,DRK-05,4,35000,140000,Digital Wallet,Online Order
SUN-4534516,2023-12-13,New York Cheesecake,Dessert,DST-03,2,42000,84000,Debit Card,Dine In
SUN-7480897,2023-10-29,Creamy Maycha Latte,Drinks,DRK-05,4,35000,140000,Digital Wallet,Unknown
SUN-1818575,2023-06-19,Classic Tirmaisu,Dessert,DST-01,2,38000,76000,Debit Card,Online Order
SUN-8890449,2023-11-20,Iced Americano,Drinks,DRK-02,3,28000,84000,Debit Card,Dine In
SUN-6063953,2023-01-27,Choco Lava Cake,Dessert,DST-04,2,35000,70000,Unknown,Take Away
SUN-3604425,2023-08-30,Creamy Maycha Latte,Drinks,DRK-05,1,35000,35000,Unknown,Dine In
SUN-3324318,2023-04-08,Creamy Maycha Latte,Drinks,DRK-05,,35000,,Digital Wallet,Dine In
SUN-3373933,2023-03-31,Grill Chicken Caesar Salad,Food,FOD-04,2,42000,84000,Cash,Take Away
SUN-3376191,2023-09-06,Classic Tirmaisu,Dessert,DST-01,3,38000,114000,Digital Wallet,Unknown
SUN-3220183,2023-10-08,Caramel Machiato,Drinks,DRK-04,1,38000,38000,Cash,Unknown
SUN-2098329,2023-11-21,Cafe Latte,Drinks,DRK-03,4,32000,128000,Debit Card,Unknown
SUN-9511805,2023-03-19,Fudgy Brownies,Dessert,DST-02,4,25000,100000,Debit Card,Online Order
SUN-8191587,2023-11-15,Grill Chicken Caesar Salad,Food,FOD-04,4,42000,168000,Unknown,Dine In
SUN-1219774,2023-10-31,Classic Tirmaisu,Dessert,DST-01,4,38000,152000,Debit Card,Dine In
SUN-2598345,2023-04-25,Fudgy Brownies,Dessert,DST-02,3,25000,75000,Unknown,Online Order
SUN-7979580,2023-01-23,Iced Americano,Drinks,DRK-02,1,28000,28000,Debit Card,Online Order
SUN-2376089,2023-10-09,Nasi Goreng Kampung,Food,FOD-03,4,38000,152000,Unknown,Online Order
SUN-1428244,2023-10-29,Club Sandwich,Food,FOD-05,3,45000,135000,Unknown,Dine In
SUN-1596637,2023-06-18,Choco Lava Cake,Dessert,DST-04,1,35000,35000,Cash,Unknown
SUN-1232934,2023-03-02,Grill Chicken Caesar Salad,Food,FOD-04,4,42000,168000,Debit Card,Online Order
SUN-4940154,2023-02-23,Espreso Single,Drinks,DRK-01,4,22000,88000,Digital Wallet,Online Order
SUN-7778868,2023-05-17,Caramel Machiato,Drinks,DRK-04,3,38000,114000,Debit Card,Online Order
SUN-4468281,2023-10-04,Classic Tirmaisu,Dessert,DST-01,2,38000,76000,Digital Wallet,Dine In
SUN-2820156,2023-04-26,Buttermilk Fried Chicken,Food,FOD-01,4,48000,192000,Digital Wallet,Take Away
SUN-8610447,2023-01-12,Fudgy Brownies,Dessert,DST-02,1,25000,25000,Debit Card,Dine In
SUN-6857776,2023-09-10,Cafe Latte,Drinks,DRK-03,4,32000,128000,Digital Wallet,Dine In
SUN-3268170,2023-09-29,Cinnamon Roll,Dessert,DST-05,4,28000,112000,Debit Card,Take Away
SUN-8460867,2023-03-07,Espreso Single,Drinks,DRK-01,2,22000,44000,Debit Card,Dine In
SUN-2202653,2023-07-24,Iced Americano,Drinks,DRK-02,1,28000,28000,Unknown,Dine In
SUN-5930089,2023-05-25,Club Sandwich,Food,FOD-05,2,45000,90000,Digital Wallet,Dine In
SUN-3523061,2023-07-02,Cafe Latte,Drinks,DRK-03,4,32000,128000,Debit Card,Online Order
SUN-3907234,2023-01-03,Creamy Maycha Latte,Drinks,DRK-05,1,35000,35000,Debit Card,Unknown
SUN-3376408,2023-08-20,New York Cheesecake,Dessert,DST-03,1,42000,42000,Debit Card,Online Order
SUN-2474644,2023-04-06,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Debit Card,Take Away
SUN-6435249,2023-07-22,Buttermilk Fried Chicken,Food,FOD-01,2,48000,96000,Digital Wallet,Online Order
SUN-2293712,2023-06-03,Caramel Machiato,Drinks,DRK-04,1,38000,38000,Digital Wallet,Online Order
SUN-5780941,2023-08-11,Caramel Machiato,Drinks,DRK-04,3,38000,114000,Debit Card,Online Order
SUN-7361289,2023-02-08,Club Sandwich,Food,FOD-05,,45000,,Digital Wallet,Online Order
SUN-7418451,2023-05-13,New York Cheesecake,Dessert,DST-03,1,42000,42000,Digital Wallet,Take Away
SUN-2550749,2023-08-20,Creamy Maycha Latte,Drinks,DRK-05,3,35000,105000,Debit Card,Online Order
SUN-2242503,2023-10-08,Nasi Goreng Kampung,Food,FOD-03,3,38000,114000,Debit Card,Online Order
SUN-7971008,2023-05-19,Choco Lava Cake,Dessert,DST-04,4,35000,140000,Cash,Take Away
SUN-2736348,2023-01-09,Cafe Latte,Drinks,DRK-03,1,32000,32000,Debit Card,Unknown
SUN-1342287,2023-09-22,Cinnamon Roll,Dessert,DST-05,2,28000,56000,Debit Card,Dine In
SUN-1631517,2023-07-04,Grill Chicken Caesar Salad,Food,FOD-04,2,42000,84000,Debit Card,Unknown
SUN-1687780,2023-08-27,Choco Lava Cake,Dessert,DST-04,3,35000,105000,Digital Wallet,Take Away
SUN-8196563,2023-02-28,Cafe Latte,Drinks,DRK-03,3,32000,96000,Debit Card,Online Order
SUN-4984981,2023-06-07,Fudgy Brownies,Dessert,DST-02,4,25000,100000,Digital Wallet,Online Order
SUN-2594032,2023-11-19,Caramel Machiato,Drinks,DRK-04,4,38000,152000,Debit Card,Take Away
SUN-6140431,2023-11-13,Choco Lava Cake,Dessert,DST-04,1,35000,35000,Digital Wallet,Take Away
SUN-6813486,2023-04-26,Creamy Maycha Latte,Drinks,DRK-05,4,35000,140000,Digital Wallet,Dine In
SUN-5616345,2023-08-19,Espreso Single,Drinks,DRK-01,2,22000,44000,Debit Card,Online Order
SUN-8141910,2023-01-31,New York Cheesecake,Dessert,DST-03,1,42000,42000,Unknown,Online Order
SUN-9830927,2023-10-23,Grill Chicken Caesar Salad,Food,FOD-04,2,42000,84000,Digital Wallet,Dine In
SUN-9108748,2023-04-08,Beef Carbonara Pasta,Food,FOD-02,1,52000,52000,Cash,Take Away
SUN-4772500,2023-05-05,Espreso Single,Drinks,DRK-01,4,22000,88000,Digital Wallet,Online Order
SUN-3987335,2023-12-19,Beef Carbonara Pasta,Food,FOD-02,2,52000,104000,Debit Card,Online Order
SUN-9763101,2023-07-18,Caramel Machiato,Drinks,DRK-04,4,38000,152000,Debit Card,Unknown
SUN-6865526,2023-11-16,Creamy Maycha Latte,Drinks,DRK-05,4,35000,140000,Digital Wallet,Dine In
SUN-4977216,2023-03-13,Nasi Goreng Kampung,Food,FOD-03,1,38000,38000,Debit Card,Online Order
SUN-1597202,2023-10-04,Iced Americano,Drinks,DRK-02,1,28000,28000,Digital Wallet,Dine In
SUN-7905133,2023-12-30,New York Cheesecake,Dessert,DST-03,4,42000,168000,Digital Wallet,Take Away
SUN-8380533,2023-01-29,Club Sandwich,Food,FOD-05,1,45000,45000,Debit Card,Dine In
SUN-7696811,2023-03-30,Club Sandwich,Food,FOD-05,3,45000,135000,Debit Card,Take Away
SUN-8800863,2023-02-23,Buttermilk Fried Chicken,Food,FOD-01,1,48000,48000,Cash,Dine In
SUN-7274735,2023-04-04,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Digital Wallet,Online Order
SUN-2350697,2023-04-24,Caramel Machiato,Drinks,DRK-04,4,38000,152000,Digital Wallet,Online Order
SUN-8557956,2023-01-27,New York Cheesecake,Dessert,DST-03,3,42000,126000,Unknown,Take Away
SUN-6403515,2023-11-24,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Digital Wallet,Online Order
SUN-4396863,2023-04-05,Iced Americano,Drinks,DRK-02,4,28000,112000,Unknown,Take Away
SUN-6923322,2023-12-03,Beef Carbonara Pasta,Food,FOD-02,4,52000,208000,Digital Wallet,Dine In
SUN-7762641,2023-10-06,New York Cheesecake,Dessert,DST-03,2,42000,84000,Cash,Dine In
SUN-4601079,2023-03-04,New York Cheesecake,Dessert,DST-03,1,42000,42000,Debit Card,Online Order
SUN-3763262,2023-09-12,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Debit Card,Online Order
SUN-1480627,2023-10-10,Espreso Single,Drinks,DRK-01,4,22000,88000,Debit Card,Online Order
SUN-8622709,2023-02-16,Nasi Goreng Kampung,Food,FOD-03,2,38000,76000,Debit Card,Online Order
SUN-6757150,2023-02-17,Iced Americano,Drinks,DRK-02,3,28000,84000,Digital Wallet,Unknown
SUN-5596627,2023-05-18,Buttermilk Fried Chicken,Food,FOD-01,3,48000,144000,Digital Wallet,Unknown
SUN-9841085,2023-01-26,Classic Tirmaisu,Dessert,DST-01,,38000,,Debit Card,Dine In
SUN-2713777,2023-06-03,Creamy Maycha Latte,Drinks,DRK-05,3,35000,105000,Digital Wallet,Unknown
SUN-3524544,2023-06-25,Grill Chicken Caesar Salad,Food,FOD-04,2,42000,84000,Debit Card,Unknown
SUN-7653084,,Buttermilk Fried Chicken,Food,FOD-01,4,48000,192000,Cash,Take Away
SUN-1235445,2023-07-28,Choco Lava Cake,Dessert,DST-04,3,35000,105000,Debit Card,Dine In
SUN-1667427,2023-06-16,Buttermilk Fried Chicken,Food,FOD-01,4,48000,192000,Unknown,Unknown
SUN-6268847,2023-03-22,Cafe Latte,Drinks,DRK-03,1,32000,32000,Digital Wallet,Take Away
SUN-1316955,2023-08-03,Cinnamon Roll,Dessert,DST-05,1,28000,28000,Debit Card,Dine In
SUN-4588078,2023-06-16,Iced Americano,Drinks,DRK-02,2,28000,56000,Digital Wallet,Dine In
SUN-7885330,2023-11-03,Choco Lava Cake,Dessert,DST-04,3,35000,105000,Digital Wallet,Online Order
SUN-3431116,2023-09-13,Caramel Machiato,Drinks,DRK-04,1,38000,38000,Digital Wallet,Unknown
SUN-4194603,2023-09-23,Iced Americano,Drinks,DRK-02,3,28000,84000,Cash,Take Away
SUN-2510315,2023-07-28,Caramel Machiato,Drinks,DRK-04,4,38000,152000,Cash,Unknown
SUN-8797339,2023-05-14,Grill Chicken Caesar Salad,Food,FOD-04,2,42000,84000,Debit Card,Dine In
SUN-5435220,2023-04-13,Cafe Latte,Drinks,DRK-03,3,32000,96000,Cash,Dine In
SUN-5323651,2023-06-13,Buttermilk Fried Chicken,Food,FOD-01,4,48000,192000,Unknown,Dine In
SUN-2691185,2023-07-28,Choco Lava Cake,Dessert,DST-04,3,35000,105000,Cash,Take Away
SUN-8355592,2023-05-15,Grill Chicken Caesar Salad,Food,FOD-04,2,42000,84000,Digital Wallet,Dine In
SUN-9556826,2023-02-23,Beef Carbonara Pasta,Food,FOD-02,3,52000,156000,Digital Wallet,Take Away
SUN-5612383,2023-02-10,Creamy Maycha Latte,Drinks,DRK-05,4,35000,140000,Debit Card,Dine In
SUN-5319858,2023-01-17,Buttermilk Fried Chicken,Food,FOD-01,2,48000,96000,Debit Card,Unknown
